推,噓,分數,作者,標題,時間
11,3,8,fun5566 (裱高中化學題目出錯之神),[新聞] 大學畢業卻騙「只念到高中」 他公務員當2,Sun Aug 23 03:38:57 2020
1,0,1,jensheng09 (甲甲都從後面來),Re,Sun Aug 23 00:17:56 2020
5,2,3,cccyyy104 (Don't get in my way),[問卦] 愛莉莎莎公關文又開始了？,Sun Aug 23 00:13:38 2020
3,13,-10,onetwogo (中國訊息報告工(正確版)),Re,Sun Aug 23 02:20:18 2020
6,0,6,brokenlin (勃肯李),[問卦] 水湳市場沒有好吃的早餐嗎,Sun Aug 23 07:36:47 2020
9,3,6,YummyYummy (優米平方 好想吃大腸),[問卦] 金村美玖要拿多少封面才甘心阿後？,Sun Aug 23 00:14:35 2020
2,1,1,cuba391156 (cuba391156),[問卦] 越野跑是不是很好玩？,Sun Aug 23 08:01:22 2020
13,0,13,paulabxz123 (優文大師),Re,Sun Aug 23 01:51:47 2020
1,0,1,ltyintw (菈米雅嘶嘶),Re,Sun Aug 23 01:43:46 2020
1,5,-4,sunarmed (彰引),[問卦] 可以請喬魯諾把Notorious收一收嗎,Sun Aug 23 02:04:12 2020
1,0,1,homerun2005 (阿里山下智久),Re,Sat Aug 22 23:55:17 2020
15,6,9,lovecyfen (lovecyfen),[問卦] 為何中國不擔心台灣打過去???,Sun Aug 23 01:07:12 2020
6,3,3,vv22hh (v2h),[問卦]  megadownloader 是不是壞了,Sun Aug 23 01:05:10 2020
8,1,7,ifromtaiwan (),[問卦] 仲介一直要我裝電錶,Sun Aug 23 06:39:57 2020
5,9,-4,autechre (Untilted),[問卦] 支那臨幸過的國家是不是只有台灣恨支那?,Sun Aug 23 04:46:17 2020
5,2,3,wuyiulin (機掰客家人),Re,Sun Aug 23 04:32:21 2020
3,11,-8,alphaleomax (阿法Q6號),［問卦］不小心看到隔壁太太的胸部,Sun Aug 23 03:08:33 2020
4,0,4,foreverthink (曹雞拜振恰倪嵐),Re,Sun Aug 23 00:30:06 2020
6,4,2,febula (febula),[問卦] 如果家人託你買彩劵，結果中了一億會講嗎,Sun Aug 23 02:55:40 2020
2,0,2,rfvujm (Rfvujm),Re,Sun Aug 23 07:26:57 2020
18,2,16,RLAPH (川尻浩作),[問卦] 等等表妹要來家裡 要注意什麼？,Sun Aug 23 08:02:12 2020
7,20,-13,Rrrxddd (有噴工讀生 RR),[問卦] 灣灣都用啥軟件 看視頻？,Sun Aug 23 01:12:33 2020
3,1,2,MiLuDaiBoom (ⓂⓛⓁⓤⒹⓐⓛⒷⓞⓞⓂ),[問卦] 一早精神很好要幹嘛,Sun Aug 23 08:24:10 2020
